Dates	COP 	BRL 	ARS 	MXN 	EUR 	GBP 	CAD 	NOK 	RUB 	EEK 	GEL 	EGP 	SDG 	NGN 	CO1 	CL1 
02.01.15	2374	2,6941	8,5553		1,2002	1,5328	1,1785	7,591	58,657	13,0363	1,885	7,1501	5,7488	183,01	56,42	52,69
05.01.15	2429,6	2,7057	8,5626	14,9453	1,1933	1,525	1,1763	7,6381	60,8679	13,1122	1,885	7,1501	5,7488	183,46	53,11	50,04
06.01.15	2450,17	2,7006	8,5523	14,8948	1,189	1,5151	1,1836	7,7467	63,552	13,1591	1,895	7,1501	5,7488	183,79	51,1	47,93
07.01.15	2427,93	2,6827	8,5823	14,715	1,1839	1,511	1,1815	7,7047	63,552	13,2158	1,895	7,1501	5,7488	186,7	51,15	48,65
08.01.15	2396,5	2,6623	8,5913	14,6667	1,1793	1,509	1,1831	7,6265	60,2917	13,2685	1,905	7,1501	5,7488	178,9	50,96	48,79
09.01.15	2416,98	2,6332	8,5912	14,603	1,1842	1,516	1,1867	7,6541	61,5633	13,2139	1,9075	7,1501	5,7488	178,76	50,11	48,36
12.01.15	2417	2,6738	8,5918	14,6537	1,1834	1,5171	1,1974	7,745	63,1584	13,2216	1,92	7,1501	5,7488	181,3	47,43	46,07
13.01.15	2441,92	2,6424	8,5914	14,6136	1,1773	1,516	1,1959	7,758	65,2782	13,291	1,925	7,1501	5,7488	183,54	46,59	45,89
14.01.15	2426,27	2,6171	8,5944	14,4886	1,1789	1,5234	1,1951	7,6217	64,7178	13,2732	1,9225	7,1502	5,7488	183,21	48,69	48,48
15.01.15	2411,6	2,6425	8,5944	14,6663	1,1633	1,5183	1,1961	7,5791	65,2424	13,4557	1,9455	7,1501	5,7488	185,71	47,67	46,25
16.01.15	2366,39	2,6222	8,6013	14,5582	1,1567	1,515	1,1984	7,5532	65,1341	13,529	1,94	7,1501	5,7488	184,95	50,17	48,69
19.01.15	2370	2,6509	8,6046	14,6217	1,1606	1,5113	1,1941	7,6239	65,0058	13,482	1,9426	7,2501	5,7488	186,38	48,84	48,69
20.01.15	2376	2,6131	8,6112	14,6609	1,155	1,5145	1,2113	7,6729	65,1995	13,5471	1,9381	7,3	5,7488	188,95	47,99	46,39
21.01.15	2376,03	2,601	8,6167	14,7544	1,161	1,5142	1,234	7,5884	65,3248	13,4772	1,9653	7,3001	5,7488	189,48	49,03	47,78
22.01.15	2371,25	2,5744	8,6147	14,6318	1,1366	1,501	1,238	7,6559	64,196	13,7655	1,9977	7,4001	5,7488	190,45	48,52	46,31
23.01.15	2389,49	2,5799	8,6267	14,6572	1,1204	1,4989	1,242	7,7657	64,2068	13,9615	2,0079	7,4001	5,7488	190,74	48,79	45,59
26.01.15	2389,74	2,5837	8,625	14,5768	1,1238	1,5078	1,2474	7,804	68,6664	13,924	2,0029	7,4401	5,7488	191,24	48,16	45,15
27.01.15	2370,38	2,5728	8,629	14,6181	1,1381	1,5197	1,2399	7,7319	66,8967	13,748	2,0131	7,4401	5,7488	192,5	49,6	46,23
28.01.15	2363,49	2,5765	8,6315	14,7542	1,1287	1,5139	1,2536	7,8315	67,9857	13,8634	2,0276	7,4601	5,7488	189,93	48,47	44,45
29.01.15	2412	2,6039	8,6385	14,795	1,132	1,5067	1,2616	7,8293	68,763	13,8225	2,055	7,5901	5,7488	189,42	49,13	44,53
30.01.15	2440,11	2,6836	8,6424	14,977	1,1291	1,506	1,2732	7,7291	68,9592	13,8563	2,0282	7,5901	5,7488	187,6	52,99	48,24
02.02.15	2407,51	2,7272	8,6524	14,8676	1,1341	1,5039	1,2564	7,6495	68,3767	13,7963	1,9984	7,6276	5,7488	189,4	54,75	49,57
03.02.15	2358	2,6951	8,6619	14,653	1,1481	1,5166	1,2415	7,517	65,2215	13,6326	2,008	7,6276	5,7488	189,9	57,91	53,05
